#====================================================================
#
#var gq = {};
#load manzil1,7.js + manzil2,3,4.js + manzil5,6.js
#word for word translation:
#var str = ''; for (var ct = 0; ct < 4; ct++) { gq[['MANZIL1','MANZIL234','MANZIL56','MANZIL7'][ct]].slice(1).forEach(function (it) { str += it.replace(/⚓/gm, '\t').replace(/★/gm, '\r\n').replace(/.*\t(.*)\t.*\r\n/gm, '$1|').slice(0, -1) + '\r\n'; }); } console.log(str);
#load suras from tanzil.net quran-data.js QuranData.Sura
#morphological data:
#var s = 1, a = 0, w, str = ''; for (var ct = 0; ct < 4; ct++) { gq[['MANZIL1','MANZIL234','MANZIL56','MANZIL7'][ct]].slice(1).forEach(function (it) { w = 1; if (a >= suras[s][1]) { s++; a = 1; } else { a++; } str += it.replace(/⚓/gm, '\t').replace(/★/gm, '\r\n').replace(/(.*\t).*\t(.*?)\|(.*\r\n)/gm, function (m, c1, c2, c3) { return '(' + s + ':' + a + ':' + w++ + ')\t' + c1 + c2 + '\t' + c3; }); }); } console.log(str);
#
#====================================================================

LOCATION	FORM	TAG	FEATURES
(2:248:23)	<in~a	 ACC	LEM:<in~|SP:<in~
(2:248:24)	fiY	 P	LEM:fiY
(2:248:25)	*a`lika	 DEM	LEM:*a`lik|MS
(2:248:26)	la'aAyapF	 N	LEM:'aAyap|ROOT:Ayy|FS|INDEF|ACC
(2:248:27)	l~akumo	 PRON	2MP
(2:248:28)	<in	 COND	LEM:<in
(2:248:29)	kuntum	 V	PERF|LEM:kaAna|ROOT:kwn|SP:kaAn|2MP
(2:248:30)	m~u&ominiyna	 N	ACT|PCPL|(IV)|LEM:mu&omin|ROOT:Amn|MP|ACC
(2:249:1)	falam~aA	T	LEM:lam~aA
(2:249:2)	faSala	 V	PERF|LEM:faSala|ROOT:fSl|3MS
(2:249:3)	TaAluwtu	 PN	LEM:TaAluwt|NOM
(2:249:4)	bi{lojunuwdi	 N	LEM:jund|ROOT:jnd|MP|GEN
(2:249:5)	qaAla	 V	PERF|LEM:qaAla|ROOT:qwl|3MS
(2:249:6)	<in~a	 ACC	LEM:<in~|SP:<in~
(2:249:7)	{ll~aha	 PN	LEM:{ll~ah|ROOT:Alh|ACC
(2:249:8)	mubotaliykum	 N	ACT|PCPL|(VIII)|LEM:mubotaliy|ROOT:blw|MS|NOM
(2:249:9)	binaharK	 N	LEM:nahar|ROOT:nhr|M|INDEF|GEN
(2:249:10)	faman	 COND	LEM:man
(2:249:11)	$ariba	 V	PERF|LEM:$ariba|ROOT:$rb|3MS
(2:249:12)	minohu	 P	LEM:min
(2:249:13)	falayosa	 V	PERF|LEM:l~ayosa|ROOT:lys|SP:kaAn|3MS
(2:249:14)	min~iY	 P	LEM:min
(2:249:15)	waman	 COND	LEM:man
(2:249:16)	l~amo	 NEG	LEM:lam
(2:249:17)	yaToEamohu	 V	IMPF|LEM:TaEimu|ROOT:TEm|3MS|MOOD:JUS
(2:249:18)	fa<in~ahu,	 ACC	LEM:<in~|SP:<in~
(2:249:19)	min~iY^	 P	LEM:min
(2:249:20)	<il~aA	 EXP	LEM:<il~aA
(2:249:21)	mani	 REL	LEM:man
(2:249:22)	{gotarafa	 V	PERF|(VIII)|LEM:{gotarafa|ROOT:grf|3MS
(2:249:23)	gurofapF[	 N	LEM:gurofap|ROOT:grf|F|INDEF|ACC
(2:249:24)	biyadihi.	 N	LEM:yad|ROOT:ydy|FS|GEN
(2:249:25)	fa$aribuwA@	 V	PERF|LEM:$ariba|ROOT:$rb|3MP
(2:249:26)	minohu	 P	LEM:min
(2:249:27)	<il~aA	 EXP	LEM:<il~aA
(2:249:28)	qaliylFA	 N	LEM:qaliyl|ROOT:qll|MS|INDEF|ACC
(2:249:29)	m~inohumo	 P	LEM:min
(2:249:30)	falam~aA	 T	LEM:lam~aA
(2:249:31)	jaAwazahu,	 V	PERF|(III)|LEM:jaAwaza|ROOT:jwz|3MS
(2:249:32)	huwa	 PRON	3MS
(2:249:33)	wa{l~a*iyna	 REL	LEM:{l~a*iY|MP
(2:249:34)	'aAmanuwA@	 V	PERF|(IV)|LEM:'aAmana|ROOT:Amn|3MP
(2:249:35)	maEahu,	 LOC	LEM:maE|ACC
(2:249:36)	qaAluwA@	 V	PERF|LEM:qaAla|ROOT:qwl|3MP
(2:249:37)	laA	 NEG	LEM:laA|SP:<in~
(2:249:38)	TaAqapa	 N	LEM:TaAqap|ROOT:Twq|F|ACC
(2:249:39)	lanaA	 PRON	1P
(2:249:40)	{loyawoma	 T	LEM:yawom|ROOT:ywm|M|ACC
(2:249:41)	bijaAluwta	 PN	LEM:jaAluwt|GEN
(2:249:42)	wajunuwdihi.	 N	LEM:jund|ROOT:jnd|MP|GEN
(2:249:43)	qaAla	 V	PERF|LEM:qaAla|ROOT:qwl|3MS
(2:249:44)	{l~a*iyna	 REL	LEM:{l~a*iY|MP
(2:249:45)	yaZun~uwna	 V	IMPF|LEM:Zan~a|ROOT:Znn|3MP
(2:249:46)	>an~ahum	 ACC	LEM:>an~|SP:<in~
(2:249:47)	m~ula`quwA@	 N	ACT|PCPL|(III)|LEM:m~ula`quwA|ROOT:lqy|MP|NOM
(2:249:48)	{ll~ahi	 PN	LEM:{ll~ah|ROOT:Alh|GEN
(2:249:49)	kam	 INTG	LEM:kam
(2:249:50)	m~in	 P	LEM:min
(2:249:51)	fi}apK	 N	LEM:fi}ap|ROOT:fAy|F|INDEF|GEN
(2:249:52)	qaliylapK	 ADJ	LEM:qaliylap|ROOT:qll|F|INDEF|GEN
(2:249:53)	galabato	 V	PERF|LEM:galabu|ROOT:glb|3FS
(2:249:54)	fi}apF	 N	LEM:fi}ap|ROOT:fAy|F|INDEF|ACC
(2:249:55)	kaviyrapF[	 ADJ	LEM:kaviyrap|ROOT:kvr|FS|INDEF|ACC
(2:249:56)	bi<i*oni	 N	LEM:<i*on|ROOT:A*n|M|GEN
(2:249:57)	{ll~ahi	 PN	LEM:{ll~ah|ROOT:Alh|GEN
(2:249:58)	wa{ll~ahu	 PN	LEM:{ll~ah|ROOT:Alh|NOM
(2:249:59)	maEa	 LOC	LEM:maE|ACC
(2:249:60)	{lS~a`biriyna	 N	ACT|PCPL|LEM:SaAbir|ROOT:Sbr|MP|GEN
(2:250:1)	walam~aA	T	LEM:lam~aA
(2:250:2)	barazuwA@	 V	PERF|LEM:baraza|ROOT:brz|3MP
(2:250:3)	lijaAluwta	 PN	LEM:jaAluwt|GEN
(2:250:4)	wajunuwdihi.	 N	LEM:jund|ROOT:jnd|MP|GEN
(2:250:5)	qaAluwA@	 V	PERF|LEM:qaAla|ROOT:qwl|3MP
(2:250:6)	rab~anaA^	 N	LEM:rab~|ROOT:rbb|M|ACC
(2:250:7)	>aforigo	 V	IMPV|(IV)|LEM:>aforigo|ROOT:frg|2MS
(2:250:8)	EalayonaA	 P	LEM:EalaY`
(2:250:9)	SaborFA	 N	LEM:Sabor|ROOT:Sbr|M|INDEF|ACC
(2:250:10)	wavab~ito	 V	IMPV|(II)|LEM:vab~ato|ROOT:vbt|2MS
(2:250:11)	>aqodaAmanaA	 N	LEM:qadam|ROOT:qdm|MP|ACC
(2:250:12)	wa{nSuronaA	 V	IMPV|LEM:naSara|ROOT:nSr|2MS
(2:250:13)	EalaY	 P	LEM:EalaY`
(2:250:14)	{loqawomi	 N	LEM:qawom|ROOT:qwm|M|GEN
(2:250:15)	{loka`firiyna	 ADJ	ACT|PCPL|LEM:ka`firuwn|ROOT:kfr|MP|GEN
(2:251:1)	fahazamuwhum	V	PERF|LEM:hazamu|ROOT:hzm|3MP
(2:251:2)	bi<i*oni	 N	LEM:<i*on|ROOT:A*n|M|GEN
(2:251:3)	{ll~ahi	 PN	LEM:{ll~ah|ROOT:Alh|GEN
(2:251:4)	waqatala	 V	PERF|LEM:qatala|ROOT:qtl|3MS
(2:251:5)	daAwu,du	 PN	LEM:daAwud|NOM
(2:251:6)	jaAluwta	 PN	LEM:jaAluwt|ACC
(2:251:7)	wa'aAtaY`hu	 V	PERF|(IV)|LEM:A^taY|ROOT:Aty|3MS
(2:251:8)	{ll~ahu	 PN	LEM:{ll~ah|ROOT:Alh|NOM
(2:251:9)	{lomuloka	 N	LEM:mulok|ROOT:mlk|M|ACC
(2:251:10)	wa{loHikomapa	 N	LEM:Hikomap|ROOT:Hkm|F|ACC
(2:251:11)	waEal~amahu,	 V	PERF|(II)|LEM:Eal~ama|ROOT:Elm|3MS
(2:251:12)	mim~aA	 P	LEM:min
(2:251:13)	ya$aA^'u	 V	IMPF|LEM:$aA^'a|ROOT:$yA|3MS
(2:251:14)	walawolaA	 COND	LEM:lawolaA^
(2:251:15)	dafoEu	 N	VN|LEM:dafoE|ROOT:dfE|M|NOM
(2:251:16)	{ll~ahi	 PN	LEM:{ll~ah|ROOT:Alh|GEN
(2:251:17)	{ln~aAsa	 N	LEM:n~aAs|ROOT:nws|MP|ACC
(2:251:18)	baEoDahum	 N	LEM:baEoD|ROOT:bED|M|ACC
(2:251:19)	bibaEoDK	 N	LEM:baEoD|ROOT:bED|M|INDEF|GEN
(2:251:20)	l~afasadati	 V	PERF|LEM:fasadati|ROOT:fsd|3FS
(2:251:21)	{lo>aroDu	 N	LEM:>aroD|ROOT:ArD|F|NOM
(2:251:22)	wala`kin~a	 ACC	LEM:la`kin~|SP:<in~
(2:251:23)	{ll~aha	 PN	LEM:{ll~ah|ROOT:Alh|ACC
(2:251:24)	*uw	 N	LEM:*uw|MS|NOM
(2:251:25)	faDolK	 N	LEM:faDol|ROOT:fDl|M|INDEF|GEN
(2:251:26)	EalaY	 P	LEM:EalaY`
(2:251:27)	{loEa`lamiyna	 N	LEM:Ea`lamiyn|ROOT:Elm|MP|GEN
(2:252:1)	tiloka	DEM	LEM:*a`lik|FS
(2:252:2)	'aAya`tu	 N	LEM:'aAyap|ROOT:Ayy|FP|NOM
(2:252:3)	{ll~ahi	 PN	LEM:{ll~ah|ROOT:Alh|GEN
(2:252:4)	natoluwhaA	 V	IMPF|LEM:talaY`|ROOT:tlw|1P
(2:252:5)	Ealayoka	 P	LEM:EalaY`
(2:252:6)	bi{loHaq~i	 N	LEM:Haq~|ROOT:Hqq|M|GEN
(2:252:7)	wa<in~aka	 ACC	LEM:<in~|SP:<in~
(2:252:8)	lamina	 P	LEM:min
(2:252:9)	{lomurosaliyna	 N	PASS|PCPL|(IV)|LEM:m~urosal|ROOT:rsl|MP|GEN
(2:253:1)	tiloka	DEM	LEM:*a`lik|FS
(2:253:2)	{lr~usulu	 N	LEM:rasuwl|ROOT:rsl|MP|NOM
(2:253:3)	faD~alonaA	 V	PERF|(II)|LEM:faD~ala|ROOT:fDl|1P
(2:253:4)	baEoDahumo	 N	LEM:baEoD|ROOT:bED|M|ACC
(2:253:5)	EalaY`	 P	LEM:EalaY`
(2:253:6)	baEoDK	 N	LEM:baEoD|ROOT:bED|M|INDEF|GEN
(2:253:7)	m~inohum	 P	LEM:min
(2:253:8)	m~an	 REL	LEM:man
(2:253:9)	kal~ama	 V	PERF|(II)|LEM:kal~ama|ROOT:klm|3MS
(2:253:10)	{ll~ahu	 PN	LEM:{ll~ah|ROOT:Alh|NOM
(2:253:11)	warafaEa	 V	PERF|LEM:rafaEa|ROOT:rfE|3MS
(2:253:12)	baEoDahumo	 N	LEM:baEoD|ROOT:bED|M|ACC
(2:253:13)	daraja`tK	 N	LEM:darajap|ROOT:drj|FP|INDEF|ACC
(2:253:14)	wa'aAtayonaA	 V	PERF|(IV)|LEM:A^taY|ROOT:Aty|1P
(2:253:15)	EiysaY	 PN	LEM:EiysaY|ACC
(2:253:16)	{bona	 N	LEM:{bon|ROOT:bny|M|ACC
(2:253:17)	maroyama	 PN	LEM:maroyam|F|GEN
(2:253:18)	{lobay~ina`ti	 N	LEM:bay~inap|ROOT:byn|FP|ACC
(2:253:19)	wa>ay~adona`hu	 V	PERF|(II)|LEM:>ay~ada|ROOT:Ayd|1P
(2:253:20)	biruwHi	 N	LEM:ruwH|ROOT:rwH|M|GEN
(2:253:21)	{loqudusi	 N	LEM:qudus|ROOT:qds|M|GEN
(2:253:22)	walawo	 COND	LEM:law
(2:253:23)	$aA^'a	 V	PERF|LEM:$aA^'a|ROOT:$yA|3MS
(2:253:24)	{ll~ahu	 PN	LEM:{ll~ah|ROOT:Alh|NOM
(2:253:25)	maA	 NEG	LEM:maA
(2:253:26)	{qotatala	 V	PERF|(VIII)|LEM:{qotatala|ROOT:qtl|3MS
(2:253:27)	{l~a*iyna	 REL	LEM:{l~a*iY|MP
(2:253:28)	min[	 P	LEM:min
(2:253:29)	baEodihim	 N	LEM:baEod|ROOT:bEd|GEN
(2:253:30)	m~in[	 P	LEM:min
(2:253:31)	baEodi	 N	LEM:baEod|ROOT:bEd|GEN
(2:253:32)	maA	 REL	LEM:maA
(2:253:33)	jaA^'atohumu	 V	PERF|LEM:jaA^'a|ROOT:jyA|3FS
(2:253:34)	{lobay~ina`tu	 N	LEM:bay~inap|ROOT:byn|FP|NOM
(2:253:35)	wala`kini	 AMD	LEM:la`kin
(2:253:36)	{xotalafuwA@	 V	PERF|(VIII)|LEM:{xotalafa|ROOT:xlf|3MP
(2:253:37)	faminohum	 P	LEM:min
(2:253:38)	m~ano	 REL	LEM:man
(2:253:39)	'aAmana	 V	PERF|(IV)|LEM:'aAmana|ROOT:Amn|3MS
(2:253:40)	waminohum	 P	LEM:min
(2:253:41)	m~an	 REL	LEM:man
(2:253:42)	kafara	 V	PERF|LEM:kafara|ROOT:kfr|3MS
(2:253:43)	walawo	 COND	LEM:law
(2:253:44)	$aA^'a	 V	PERF|LEM:$aA^'a|ROOT:$yA|3MS
(2:253:45)	{ll~ahu	 PN	LEM:{ll~ah|ROOT:Alh|NOM
(2:253:46)	maA	 NEG	LEM:maA
(2:253:47)	{qotataluwA@	 V	PERF|(VIII)|LEM:{qotatala|ROOT:qtl|3MP
(2:253:48)	wala`kin~a	 ACC	LEM:la`kin~|SP:<in~
(2:253:49)	{ll~aha	 PN	LEM:{ll~ah|ROOT:Alh|ACC
(2:253:50)	yafoEalu	 V	IMPF|LEM:faEala|ROOT:fEl|3MS
(2:253:51)	maA	 REL	LEM:maA
(2:253:52)	yuriydu	 V	IMPF|(IV)|LEM:>araAda|ROOT:rwd|3MS
(2:254:1)	ya`^>ay~uhaA	N	LEM:>ay~uhaA|NOM
(2:254:2)	{l~a*iyna	 REL	LEM:{l~a*iY|MP
(2:254:3)	'aAmanuw^A@	 V	PERF|(IV)|LEM:'aAmana|ROOT:Amn|3MP
(2:254:4)	>anfiquwA@	 V	IMPV|(IV)|LEM:>anfaqa|ROOT:nfq|2MP
(2:254:5)	mim~aA	 P	LEM:min
(2:254:6)	razaqona`kum	 V	PERF|LEM:razaqa|ROOT:rzq|1P
(2:254:7)	m~in	 P	LEM:min
(2:254:8)	qaboli	 N	LEM:qabol|ROOT:qbl|GEN
(2:254:9)	>an	 SUB	LEM:>an
(2:254:10)	ya>otiYa	 V	IMPF|LEM:>ataY|ROOT:Aty|3MS|MOOD:SUBJ
(2:254:11)	yawomN	 N	LEM:yawom|ROOT:ywm|M|INDEF|NOM
(2:254:12)	l~aA	 NEG	LEM:laA|SP:kaAn
(2:254:13)	bayoEN	 N	LEM:bayoE|ROOT:byE|M|INDEF|NOM
(2:254:14)	fiyhi	 P	LEM:fiY
(2:254:15)	walaA	 NEG	LEM:laA|SP:kaAn
(2:254:16)	xul~apN	 N	LEM:xul~ap|ROOT:xll|F|INDEF|NOM
(2:254:17)	walaA	 NEG	LEM:laA|SP:kaAn
(2:254:18)	$afa`EapN	 N	LEM:$afa`Eap|ROOT:$fE|F|INDEF|NOM
(2:254:19)	wa{loka`firuwna	 N	ACT|PCPL|LEM:ka`firuwn|ROOT:kfr|MP|NOM
(2:254:20)	humu	 PRON	3MP
(2:254:21)	{lZ~a`limuwna	 N	ACT|PCPL|LEM:ZaAlim|ROOT:Zlm|MP|NOM
(2:255:1)	{ll~ahu	PN	LEM:{ll~ah|ROOT:Alh|NOM
(2:255:2)	laA^	 NEG	LEM:laA|SP:<in~
(2:255:3)	<ila`ha	 N	LEM:<ila`h|ROOT:Alh|MS|ACC
(2:255:4)	<il~aA	 EXP	LEM:<il~aA
(2:255:5)	huwa	 PRON	3MS
(2:255:6)	{loHaY~u	 N	LEM:Hay~|ROOT:Hyy|MS|NOM
(2:255:7)	{loqay~uwmu	 ADJ	LEM:qay~uwm|ROOT:qwm|MS|NOM
(2:255:8)	laA	 NEG	LEM:laA
(2:255:9)	ta>oxu*uhu,	 V	IMPF|LEM:>axa*a|ROOT:Ax*|3FS
(2:255:10)	sinapN	 N	LEM:sinap|ROOT:wsn|F|INDEF|NOM
(2:255:11)	walaA	 NEG	LEM:laA
(2:255:12)	nawomN	 N	LEM:nawom|ROOT:nwm|M|INDEF|NOM
(2:255:13)	l~ahu,	 PRON	3MS
(2:255:14)	maA	 REL	LEM:maA
(2:255:15)	fiY	 P	LEM:fiY
(2:255:16)	{ls~ama`wa`ti	 N	LEM:samaA^'|ROOT:smw|FP|GEN
(2:255:17)	wamaA	 REL	LEM:maA
(2:255:18)	fiY	 P	LEM:fiY
(2:255:19)	{lo>aroDi	 N	LEM:>aroD|ROOT:ArD|F|GEN
(2:255:20)	man	 INTG	LEM:man
(2:255:21)	*aA	 DEM	LEM:*aA|MS
(2:255:22)	{l~a*iY	 REL	LEM:{l~a*iY|MS
(2:255:23)	ya$ofaEu	 V	IMPF|LEM:ya$ofaEu|ROOT:$fE|3MS
(2:255:24)	Eindahu,^	 LOC	LEM:Eind|ROOT:End|ACC
(2:255:25)	<il~aA	 EXP	LEM:<il~aA
(2:255:26)	bi<i*onihi.	 N	LEM:<i*on|ROOT:A*n|M|GEN
(2:255:27)	yaEolamu	 V	IMPF|LEM:Ealima|ROOT:Elm|3MS
(2:255:28)	maA	 REL	LEM:maA
(2:255:29)	bayona	 LOC	LEM:bayon|ROOT:byn|ACC
(2:255:30)	>ayodiyhimo	 N	LEM:yad|ROOT:ydy|FP|GEN
(2:255:31)	wamaA	 REL	LEM:maA
(2:255:32)	xalofahumo	 LOC	LEM:xalof|ROOT:xlf|M|ACC
(2:255:33)	walaA	 NEG	LEM:laA
(2:255:34)	yuHiyTuwna	 V	IMPF|(IV)|LEM:>aHaATa|ROOT:HwT|3MP
(2:255:35)	bi$aYo'K	 N	LEM:$aYo'|ROOT:$yA|M|INDEF|GEN
(2:255:36)	m~ino	 P	LEM:min
(2:255:37)	Eilomihi.^	 N	LEM:Eilom|ROOT:Elm|M|GEN
(2:255:38)	<il~aA	 RES	LEM:<il~aA
(2:255:39)	bimaA	 REL	LEM:maA
(2:255:40)	$aA^'a	 V	PERF|LEM:$aA^'a|ROOT:$yA|3MS
(2:255:41)	wasiEa	 V	PERF|LEM:wasiEa|ROOT:wsE|3MS
(2:255:42)	kurosiy~uhu	 N	LEM:kurosiy~|ROOT:krs|M|NOM
(2:255:43)	{ls~ama`wa`ti	 N	LEM:samaA^'|ROOT:smw|FP|ACC
(2:255:44)	wa{lo>aroDa	 N	LEM:>aroD|ROOT:ArD|F|ACC
(2:255:45)	walaA	 NEG	LEM:laA
(2:255:46)	ya_#uwduhu,	 V	IMPF|LEM:ya_#uwdu|ROOT:Awd|3MS
(2:255:47)	HifoZuhumaA	 N	LEM:HifoZ|ROOT:HfZ|M|NOM
(2:255:48)	wahuwa	 PRON	3MS
(2:255:49)	{loEaliY~u	 N	LEM:Ealiy~|ROOT:Elw|MS|NOM
(2:255:50)	{loEaZiymu	 ADJ	LEM:EaZiym|ROOT:EZm|MS|NOM
(2:256:1)	laA^	NEG	LEM:laA|SP:<in~
(2:256:2)	<ikoraAha	 N	VN|(IV)|LEM:<ikoraAh|ROOT:krh|M|ACC
(2:256:3)	fiY	 P	LEM:fiY
(2:256:4)	{ld~iyni	 N	LEM:diyn|ROOT:dyn|M|GEN
(2:256:5)	qad	 CERT	LEM:qad
(2:256:6)	t~abay~ana	 V	PERF|(V)|LEM:tabay~ana|ROOT:byn|3MS
(2:256:7)	{lr~u$odu	 N	LEM:ru$od|ROOT:r$d|M|NOM
(2:256:8)	mina	 P	LEM:min
(2:256:9)	{logaY~i	 N	LEM:gay~|ROOT:gwy|M|GEN
(2:256:10)	faman	 COND	LEM:man
(2:256:11)	yakofuro	 V	IMPF|LEM:kafara|ROOT:kfr|3MS|MOOD:JUS
(2:256:12)	bi{lT~a`guwti	 N	LEM:T~a`guwt|ROOT:Tgy|GEN
(2:256:13)	wayu&omin[	 V	IMPF|(IV)|LEM:'aAmana|ROOT:Amn|3MS|MOOD:JUS
(2:256:14)	bi{ll~ahi	 PN	LEM:{ll~ah|ROOT:Alh|GEN
(2:256:15)	faqadi	 CERT	LEM:qad
(2:256:16)	{sotamosaka	 V	PERF|(X)|LEM:{sotamosaka|ROOT:msk|3MS
(2:256:17)	bi{loEurowapi	 N	LEM:Eurowap|ROOT:Erw|F|GEN
(2:256:18)	{lowuvoqaY`	 ADJ	LEM:wuvoqaY`|ROOT:wvq|FS|GEN
(2:256:19)	laA	 NEG	LEM:laA|SP:<in~
(2:256:20)	{nfiSaAma	 N	VN|(VII)|LEM:{nfiSaAm|ROOT:fSm|M|ACC
(2:256:21)	lahaA	 PRON	3FS
(2:256:22)	wa{ll~ahu	 PN	LEM:{ll~ah|ROOT:Alh|NOM
(2:256:23)	samiyEN	 N	LEM:samiyE|ROOT:smE|MS|INDEF|NOM
(2:256:24)	EaliymN	 ADJ	LEM:Ealiym|ROOT:Elm|MS|INDEF|NOM
(2:257:1)	{ll~ahu	PN	LEM:{ll~ah|ROOT:Alh|NOM
(2:257:2)	waliY~u	 N	LEM:waliY~|ROOT:wly|M|NOM
(2:257:3)	{l~a*iyna	 REL	LEM:{l~a*iY|MP
(2:257:4)	'aAmanuwA@	 V	PERF|(IV)|LEM:'aAmana|ROOT:Amn|3MP
(2:257:5)	yuxorijuhum	 V	IMPF|(IV)|LEM:>axoraja|ROOT:xrj|3MS
(2:257:6)	m~ina	 P	LEM:min
(2:257:7)	{lZ~uluma`ti	 N	LEM:Zuluma`t|ROOT:Zlm|FP|GEN
(2:257:8)	<ilaY	 P	LEM:<ilaY`
(2:257:9)	{ln~uwri	 N	LEM:nuwr|ROOT:nwr|M|GEN
(2:257:10)	wa{l~a*iyna	 REL	LEM:{l~a*iY|MP
(2:257:11)	kafaruw^A@	 V	PERF|LEM:kafara|ROOT:kfr|3MP
(2:257:12)	>awoliyaA^&uhumu	 N	LEM:waliY~|ROOT:wly|MP|NOM
(2:257:13)	{lT~a`guwtu	 N	LEM:T~a`guwt|ROOT:Tgy|NOM
(2:257:14)	yuxorijuwnahum	 V	IMPF|(IV)|LEM:>axoraja|ROOT:xrj|3MP
(2:257:15)	m~ina	 P	LEM:min
(2:257:16)	{ln~uwri	 N	LEM:nuwr|ROOT:nwr|M|GEN
(2:257:17)	<ilaY	 P	LEM:<ilaY`
(2:257:18)	{lZ~uluma`ti	 N	LEM:Zuluma`t|ROOT:Zlm|FP|GEN
(2:257:19)	>uw@la`^}ika	 DEM	LEM:>uwla`^}ik|P
(2:257:20)	>aSoHa`bu	 N	LEM:>aSoHa`b|ROOT:SHb|MP|NOM
(2:257:21)	{ln~aAri	 N	LEM:naAr|ROOT:nwr|F|GEN
(2:257:22)	humo	 PRON	3MP
(2:257:23)	fiyhaA	 P	LEM:fiY
(2:257:24)	xa`liduwna	 N	ACT|PCPL|LEM:xa`lid|ROOT:xld|MP|NOM
(2:258:1)	>alamo	NEG	LEM:lam
(2:258:2)	tara	 V	IMPF|LEM:ra'aA|ROOT:rAy|2MS|MOOD:JUS
(2:258:3)	<ilaY	 P	LEM:<ilaY`
(2:258:4)	{l~a*iY	 REL	LEM:{l~a*iY|MS
(2:258:5)	HaA^j~a	 V	PERF|(III)|LEM:HaA^j~a|ROOT:Hjj|3MS
(2:258:6)	<ibora`hi.ma	 PN	LEM:<iboraAhiym|M|ACC
(2:258:7)	fiY	 P	LEM:fiY
(2:258:8)	rab~ihi.^	 N	LEM:rab~|ROOT:rbb|M|GEN
(2:258:9)	>ano	 SUB	LEM:>an
(2:258:10)	'aAtaY`hu	 V	PERF|(IV)|LEM:A^taY|ROOT:Aty|3MS
(2:258:11)	{ll~ahu	 PN	LEM:{ll~ah|ROOT:Alh|NOM
(2:258:12)	{lomuloka	 N	LEM:mulok|ROOT:mlk|M|ACC
(2:258:13)	<i*o	 T	LEM:<i*
(2:258:14)	qaAla	 V	PERF|LEM:qaAla|ROOT:qwl|3MS
(2:258:15)	<ibora`hi.mu	 PN	LEM:<iboraAhiym|M|NOM
(2:258:16)	rab~iYa	 N	LEM:rab~|ROOT:rbb|M|NOM
(2:258:17)	{l~a*iY	 REL	LEM:{l~a*iY|MS
(2:258:18)	yuHoYi.	 V	IMPF|(IV)|LEM:>aHoyaA|ROOT:Hyy|3MS
(2:258:19)	wayumiytu	 V	IMPF|(IV)|LEM:>amaAta|ROOT:mwt|3MS
(2:258:20)	qaAla	 V	PERF|LEM:qaAla|ROOT:qwl|3MS
(2:258:21)	>anaA"	 PRON	1S
(2:258:22)	>uHoYi.	 V	IMPF|(IV)|LEM:>aHoyaA|ROOT:Hyy|1S
(2:258:23)	wa>umiytu	 V	IMPF|(IV)|LEM:>amaAta|ROOT:mwt|1S
(2:258:24)	qaAla	 V	PERF|LEM:qaAla|ROOT:qwl|3MS
(2:258:25)	<ibora`hi.mu	 PN	LEM:<iboraAhiym|M|NOM
(2:258:26)	fa<in~a	 ACC	LEM:<in~|SP:<in~
(2:258:27)	{ll~aha	 PN	LEM:{ll~ah|ROOT:Alh|ACC
(2:258:28)	ya>otiY	 V	IMPF|LEM:>ataY|ROOT:Aty|3MS
(2:258:29)	bi{l$~amosi	 N	LEM:$amos|ROOT:$ms|F|GEN
(2:258:30)	mina	 P	LEM:min
(2:258:31)	{loma$oriqi	 N	LEM:ma$oriq|ROOT:$rq|M|GEN
(2:258:32)	fa>oti	 V	IMPV|LEM:>ataY|ROOT:Aty|2MS
(2:258:33)	bihaA	 PRON	3FS
(2:258:34)	mina	 P	LEM:min
(2:258:35)	{lomagoribi	 N	LEM:magorib|ROOT:grb|M|GEN
(2:258:36)	fabuhita	 V	PERF|PASS|LEM:buhita|ROOT:bht|3MS
(2:258:37)	{l~a*iY	 REL	LEM:{l~a*iY|MS
(2:258:38)	kafara	 V	PERF|LEM:kafara|ROOT:kfr|3MS
(2:258:39)	wa{ll~ahu	 PN	LEM:{ll~ah|ROOT:Alh|NOM
(2:258:40)	laA	 NEG	LEM:laA
(2:258:41)	yahodiY	 V	IMPF|LEM:hadaY|ROOT:hdy|3MS
(2:258:42)	{loqawoma	 N	LEM:qawom|ROOT:qwm|M|ACC
(2:258:43)	{lZ~a`limiyna	 ADJ	ACT|PCPL|LEM:ZaAlim|ROOT:Zlm|MP|ACC
(2:259:1)	>awo	CONJ	LEM:>aw
(2:259:2)	ka{l~a*iY	 REL	LEM:{l~a*iY|MS
(2:259:3)	mar~a	 V	PERF|LEM:mar~a|ROOT:mrr|3MS
(2:259:4)	EalaY`	 P	LEM:EalaY`
(2:259:5)	qaroyapK	 N	LEM:qaroyap|ROOT:qry|F|INDEF|GEN
(2:259:6)	wahiYa	 PRON	3FS
(2:259:7)	xaAwiyapN	 N	ACT|PCPL|LEM:xaAwiyap|ROOT:xwy|F|INDEF|NOM
(2:259:8)	EalaY`	 P	LEM:EalaY`
(2:259:9)	Euruw$ihaA	 N	LEM:Earo$|ROOT:Er$|MP|GEN
(2:259:10)	qaAla	 V	PERF|LEM:qaAla|ROOT:qwl|3MS
(2:259:11)	>an~aY`	 INTG	LEM:>an~aY`|ROOT:Any
(2:259:12)	yuHoYi.	 V	IMPF|(IV)|LEM:>aHoyaA|ROOT:Hyy|3MS
